ufa_player_id,norm_name,reason,club,evidence
dwiseman,dave wiseman,no-match,,
dyoung1,dan young,no-match,,
dyu,david yu,ambiguous,flight club,years:2
eartemaki,eli artemakis,ambiguous,chicago machine,city:chicago years:4
eatwell,erik atwell,ambiguous,texas state (texas state buckets),years:1
eceballos,esteban ceballos,no-corroboration,,
efinley,eddie finley,no-match,,
eforget,enzo forget,no-match,,
efriedman,eli friedman,ambiguous,rhino slam!,city:portland jersey:7 years:2
ekerns,eli kerns,no-match,,
elee,elliot lee,ambiguous,chicago parlay,city:chicago years:1
emiller,evan miller,ambiguous,queen city kings,years:1
epaulausk,eric paulauskas,no-match,,
eperpich,elliot perpich,no-corroboration,,
ephanglyn,erich phang-lynn,no-match,,
eshipway,emmet shipway,no-match,,
esumbi,edgar sumbi,no-match,,
ffernande,franky fernandez,no-match,,
fgomez,frankie gomez,no-match,,
gcohen,greg cohen,no-match,,
gcolton,gabe colton,no-match,,
gcousins,greg cousins,no-match,,
gdoble,gabriel doble,no-match,,
gdobrozsi,gabe dobrozsi,no-match,,
gdowd,gabe dowd,no-match,,
ghernande,gabriel hernandez,ambiguous,crude ultimate,city:dallas jersey:23
gjagt,gabe jagt,no-match,,
gjohnson,grant johnson,no-corroboration,,
gnobis,gabe nobis,no-match,,
gnorrbom,gus norrbom,ambiguous,truck stop,jersey:47 years:4
gplaiajr,gregory plaia jr,no-match,,
gwebster,gabe webster,no-match,,
gwilson1,garrett wilson,ambiguous,brawl,jersey:30 years:1
gwray,gabe wray,no-match,,
hfisher,henry fisher,ambiguous,ring of fire,city:raleigh jersey:10;3 years:3
hlaseter,henry laseter,ambiguous,yee-haw,years:1
htaylor,hunter taylor,no-corroboration,,
hwachob,hayden wachob,no-corroboration,,
igranstro,isaac granstrom,no-match,,
ihahn,ian hahn,ambiguous,a la carte-b,jersey:14 years:1
ilawson,ian lawson,no-corroboration,,
ilee,isaac lee,ambiguous,truck stop,jersey:2;99 years:4
jallen1,jackson allen,ambiguous,lil’ huckers,years:1
janderson,jake anderson,ambiguous,phlagstaff ultimate,years:1
janderson1,joe anderson,no-match,,
jbabbitt,jeff babbitt,no-match,,
jbaumer,jake baumer,no-match,,
jblue,jacob blue,no-match,,
jbolt,josh bolt,no-match,,
jbonilla,julian bonilla,no-match,,
jbray,jimmy bray,no-match,,
jbrown,jack brown,no-corroboration,,
jbruner,jace bruner,no-match,,
jburns,jp burns,no-match,,
jcaicedo,jean caicedo,no-corroboration,,
jcanfield,jared canfield,no-match,,
jcari,joey cari,no-match,,
jcarol,jackson carol,no-match,,
jclark,jay clark,no-match,,
jcox,jc cox,no-match,,
jdecampos,jackson de campos,no-corroboration,,
jeast,josh east,no-match,,
jedwards,jonathan edwards,no-corroboration,,
jfeagens,jayden feagens,no-match,,
jfelton,jake felton,no-match,,
jgalle,jack galle,ambiguous,i-69,city:indianapolis jersey:38 years:1
jgenest,joseph genest,no-match,,
jhartzog,josh hartzog,no-match,,
jhill1,jordan hill,ambiguous,freaks,jersey:27
jholm,jeff holm,no-match,,
jhuppert,joey huppert,no-match,,
jisaza,javier isaza,no-corroboration,,
jjones,john jones,ambiguous,spectre,city:indianapolis jersey:85 years:2
jkarl,jim karl,no-match,,
jkelly,jack kelly,ambiguous,noise,city:madison jersey:77 years:4
jkelly1,jerry kelly,no-match,,
jkennedy,joey kennedy,ambiguous,chicago machine,city:chicago years:1
jlane,jacob lane,ambiguous,uproar,city:tampa bay jersey:22 years:2
jlee,jonathan lee,ambiguous,rhino slam!,city:portland jersey:22 years:1
jlee2,jason lee,ambiguous,anti socal socal club,years:1
jlewis,james lewis,ambiguous,goat,city:toronto jersey:9 years:3
jlim,justin lim,no-match,,
jlyder,josh lyder,no-match,,
jmarkette,josh markette,ambiguous,dig,city:boston jersey:99 years:1
jmast,jonathan mast,ambiguous,pittsburgh temper,city:pittsburgh jersey:2 years:1
jmcguines,jackson mcguiness,no-match,,
jmcguinne,jimmy mcguinness,no-match,,
jmckee,jackson mckee,no-corroboration,,
jmckoy,jonny mckoy,no-match,,
jmcmoniga,john mcmonigal,no-match,,
jmerrill,joe merrill,no-match,,
jmillage,jamie millage,no-match,,
