ufa_player_id,norm_name,club,n_evidence,evidence
srobinson,seamus robinson,,2,jersey:30 years:5
srossi,sebastian rossi,,3,city:boston jersey:80 years:1
sruelle,simon ruelle,,1,years:1
srueschem,solomon rueschemeyer-bailey,,3,city:new york jersey:9 years:6
ssamu,stefan samu,,2,city:san diego years:1
sseidenbe,shaun seidenberger,,3,city:houston jersey:24 years:2
ssemrin,saeed semrin,,3,city:colorado jersey:10;13 years:4
ssih,spencer sih,,1,years:1
ssisco,shane sisco,,3,city:raleigh jersey:13 years:3
sswafford,skyler swafford,,2,jersey:40 years:1
staylor1,skylohr taylor,,2,jersey:40 years:1
sthompson,sawyer thompson,,3,city:oakland jersey:18 years:3
svandusen,sam vandusen,,2,city:colorado;pittsburgh years:5
svankan,sef van kan,,2,city:madison years:1
swalker,simon walker,,2,city:ottawa years:1
swartinbe,steven wartinbee,,3,city:dc jersey:27 years:3
sweaver,seth weaver,,3,city:raleigh jersey:4 years:5
swells,seth wells,,3,city:colorado jersey:47 years:4
swhitcomb,spencer whitcomb,,2,jersey:17;77 years:2
swildavsk,saul wildavsky,,2,jersey:90 years:2
swiles,sean wiles,,1,jersey:13
swilliams,sebastian williamson,,3,city:oregon jersey:11 years:1
sworthing,shane worthington,,3,city:seattle jersey:90 years:4
sxu,scott xu,,1,years:4
tabeltins,toms abeltins,,2,city:toronto years:1
tadams1,trip adams,,3,city:indianapolis jersey:95 years:1
takyuz,tarik akyuz,,3,city:seattle jersey:64 years:2
tallen1,turner allen,,3,city:boston jersey:7 years:5
tannen,tom annen,,2,city:madison years:3
tbacon,tyler bacon,,1,years:2
tbankston,tucker bankston,,2,city:dallas years:1
tbarbieri,ty barbieri,,3,city:toronto jersey:5 years:1
tbarcus,tanner barcus,,2,jersey:14 years:3
tbarrett,tyler barrett,,2,city:chicago years:1
tbarton,taylor barton,,1,jersey:11
tblasman,tom blasman,,3,city:toronto jersey:1 years:1
tbrooks1,tobias brooks,,3,city:colorado jersey:1 years:4
tcarpente,travis carpenter,,3,city:indianapolis jersey:37 years:3
tchan,tyler chan,,3,city:boston jersey:44 years:4
tchrzanow,tom chrzanowski,,3,city:tampa bay jersey:34 years:1
tchukwume,toya chukwumerije,,3,city:houston jersey:25 years:4
tcoolidge,thomas coolidge,,3,city:madison jersey:48 years:1
tcrowley,trip crowley,,3,city:atlanta jersey:1 years:4
tdavis,topher davis,,2,city:boston years:5
tdecraene,tobe decraene,,3,city:boston jersey:33 years:3
tdegirola,tyler degirolamo,,1,years:1
tdoi,tom doi,,2,jersey:93 years:2
tdubois,thomas dubois,,3,city:montreal jersey:34 years:1
tduke,thomas duke,,3,city:portland jersey:28 years:1
tdunn,travis dunn,,3,city:san diego jersey:80 years:6
tduplaix,thomas duplaix,,3,city:montreal jersey:43 years:2
tdynes,trey dynes,,3,city:indianapolis jersey:45 years:1
techols,thomas echols,,2,city:colorado years:1
tedmonds,thomas edmonds,,3,city:boston;pittsburgh jersey:8 years:6
telam,trevor elam,,3,city:austin jersey:22;89 years:4
telliott,timothy elliott,,3,city:colorado jersey:14 years:3
temig,tyler emig,,1,years:1
tfong,tomas fong,,2,jersey:25 years:2
tfrench,tyler french,,1,city:atlanta
tfriesen,timothy friesen,,2,city:montreal years:1
tgaither,terry gaither,,2,jersey:33 years:5
tgilman,taylor gilman,,2,jersey:67 years:1
tgraham,tanner graham,,2,jersey:28 years:2
tgreen,tristan green,,3,city:raleigh jersey:34 years:1
tgriesman,trevor griesman,,3,city:philadelphia jersey:16 years:1
tgunaseke,tyler gunasekera,,1,years:1
thalkyard,tanner halkyard,,3,city:boston jersey:4 years:1
thansen,thomas hansen,,3,city:pittsburgh jersey:88 years:3
thawks,trevor hawks,,1,years:1
thebert,tyler hebert,,3,city:tampa bay jersey:0 years:2
thebert1,trenton hebert,,3,city:austin jersey:9 years:2
thedges,tannon hedges,,3,city:atlanta jersey:19;87 years:5
thoffman,tucker hoffman,,1,years:1
tholland,troy holland,,2,jersey:91 years:3
thusband,tyler husband,,1,years:1
thustad,tyler hustad,,2,city:dallas years:1
tkelley,trevor kelley,,2,city:salt lake years:1
tkim,theo kim,,1,years:1
tkoch,trey koch,,2,city:indianapolis years:2
tkonogeri,thomas konogeris,,3,city:san diego jersey:16 years:3
tkunsa,tyler kunsa,,2,city:atlanta years:1
tlalondel,thomas lalonde-landry,,3,city:montreal jersey:24 years:5
tleighton,tavis leighton,,2,city:chicago years:1
tlemos,tucker lemos,,2,jersey:33 years:2
tlin,tommy lin,,3,city:seattle jersey:25 years:6
tlootens,tim lootens,,2,city:tampa bay years:2
tlynch,trevor lynch,,3,city:raleigh jersey:76 years:6
tmackey,tyler mackey,,2,city:philadelphia years:2
tmasterso,taylor masterson,,3,city:austin jersey:22 years:1
tmazur,thomas mazur,,2,city:pittsburgh years:1
tmcallist,tim mcallister,,3,city:raleigh jersey:51 years:1
tmccarthy,tyler mccarthy,,2,jersey:16 years:2
tmcknight,thomson mcknight,,2,city:toronto jersey:19
tmeyer1,thomas meyer,,1,years:1
tmiller,tremont miller,,2,city:seattle jersey:7
tmitchell,terrence mitchell,,3,city:raleigh jersey:8 years:5
tmitchuso,tyler mitchuson,,2,jersey:36 years:2
tmonroe,tyler monroe,,2,city:dc years:4
tmosher,timothy mosher,,3,city:austin;dallas jersey:13;16 years:3
